identifier,description,rdf,triples
House-Building_01,"A house is a residential building. It may range in complexity from a rudimentary hut to a complex structure of wood, masonry, concrete or other material, outfitted with plumbing, electrical, and heating, ventilation, and air conditioning systems.","@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix wd: <http://www.wikidata.org/entity/> .
@prefix kg: <https://example.org/wikidata-description/> .

wd:Q3947 rdfs:label ""house""@en ;
    kg:be wd:Q41176 ;
    kg:be wd:Q985488 ;
    kg:condition wd:Q131179478 ;
    kg:outfit wd:Q244404 ;
    kg:outfit wd:Q318452 ;
    kg:outfit wd:Q4311765 ;
    kg:outfit wd:Q9530 ;
    kg:outfitWith wd:Q182612 ;
    kg:range wd:Q214609 ;
    kg:range wd:Q22657 ;
    kg:range wd:Q41726 ;
    kg:rangeFrom wd:Q29718088 ;
    kg:rangeFrom wd:Q37093879 ;
    kg:rangeIn wd:Q5156624 ;
    kg:rangeOf wd:Q1158452 ;
    kg:rangeTo wd:Q1497375 ;
    kg:rangeTo wd:Q5156608 ;
    kg:rangeTo wd:Q811979 .

wd:Q1158452 rdfs:label ""Wood""@en .
wd:Q131179478 rdfs:label ""systems""@en .
wd:Q1497375 rdfs:label ""architectural ensemble""@en .
wd:Q182612 rdfs:label ""plumbing""@en .
wd:Q214609 rdfs:label ""material""@en .
wd:Q22657 rdfs:label ""concrete""@en .
wd:Q244404 rdfs:label ""electrical injury""@en .
wd:Q29718088 rdfs:label ""r""@en .
wd:Q318452 rdfs:label ""Air""@en .
wd:Q37093879 rdfs:label ""Hut""@en .
wd:Q41176 rdfs:label ""building""@en .
wd:Q41726 rdfs:label ""freemasonry""@en .
wd:Q4311765 rdfs:label ""heating""@en .
wd:Q5156608 rdfs:label ""Complex structure theory in English law""@en .
wd:Q5156624 rdfs:label ""Complexity""@en .
wd:Q811979 rdfs:label ""built structure""@en .
wd:Q9530 rdfs:label ""breathing""@en .
wd:Q985488 rdfs:label ""residential community""@en .
","[[""house"", ""be"", ""building""], [""house"", ""be"", ""residential community""], [""house"", ""condition"", ""systems""], [""house"", ""outfit"", ""Air""], [""house"", ""outfit"", ""breathing""], [""house"", ""outfit"", ""electrical injury""], [""house"", ""outfit"", ""heating""], [""house"", ""outfitWith"", ""plumbing""], [""house"", ""range"", ""concrete""], [""house"", ""range"", ""freemasonry""], [""house"", ""range"", ""material""], [""house"", ""rangeFrom"", ""Hut""], [""house"", ""rangeFrom"", ""r""], [""house"", ""rangeIn"", ""Complexity""], [""house"", ""rangeOf"", ""Wood""], [""house"", ""rangeTo"", ""architectural ensemble""], [""house"", ""rangeTo"", ""built structure""], [""house"", ""rangeTo"", ""Complex structure theory in English law""]]"
House-Building_02,"A building or edifice is an enclosed structure with a roof, walls and often windows, usually standing permanently in one place, such as a house or factory. Buildings come in a variety of sizes, shapes, and functions, and have been adapted throughout history in response to numerous factors, from available building materials to weather conditions, land prices, ground conditions, specific uses, prestige, and aesthetic reasons.","@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix wd: <http://www.wikidata.org/entity/> .
@prefix kg: <https://example.org/wikidata-description/> .

wd:Q41176 rdfs:label ""building""@en ;
    kg:adapt wd:Q6786584 ;
    kg:adaptIn wd:Q14859560 ;
    kg:adaptThroughout wd:Q309 ;
    kg:adaptTo wd:Q136709489 ;
    kg:adaptTo wd:Q50349184 ;
    kg:adaptTo wd:Q56964495 ;
    kg:be wd:Q113015169 ;
    kg:be wd:Q42948 ;
    kg:be wd:Q811979 ;
    kg:beWith wd:Q83180 ;
    kg:come wd:Q126186951 ;
    kg:come wd:Q190686 ;
    kg:comeIn wd:Q471728 ;
    kg:comeOf wd:Q51398581 ;
    kg:land wd:Q100397828 ;
    kg:land wd:Q26328163 ;
    kg:land wd:Q36133 ;
    kg:land wd:Q37467962 ;
    kg:land wd:Q4688579 ;
    kg:land wd:Q71536040 ;
    kg:land wd:Q97751506 ;
    kg:stand wd:Q1193907 ;
    kg:stand wd:Q3947 ;
    kg:stand wd:Q83405 ;
    kg:weather wd:Q139875957 .

wd:Q100397828 rdfs:label ""Prices Act, 1958""@en .
wd:Q113015169 rdfs:label ""papal enclosed""@en .
wd:Q1193907 rdfs:label ""link rot""@en .
wd:Q126186951 rdfs:label ""Shapes""@en .
wd:Q136709489 rdfs:label ""Numerous sailing ships at sea""@en .
wd:Q139875957 rdfs:label ""Conditions""@en .
wd:Q14859560 rdfs:label ""response to stimulus""@en .
wd:Q190686 rdfs:label ""subroutine""@en .
wd:Q26328163 rdfs:label ""Ground conditions and the May 13, 1994, rock burst: Coeur d'Alene mining district, Northern Idaho""@en .
wd:Q309 rdfs:label ""history""@en .
wd:Q36133 rdfs:label ""soil""@en .
wd:Q37467962 rdfs:label ""Reasons""@en .
wd:Q3947 rdfs:label ""house""@en .
wd:Q42948 rdfs:label ""wall""@en .
wd:Q4688579 rdfs:label ""Aesthetic Plastic Surgery""@en .
wd:Q471728 rdfs:label ""Variety""@en .
wd:Q50349184 rdfs:label ""immunologic factor""@en .
wd:Q51398581 rdfs:label ""Sizes and prices of foliage, decorative, Xmas and Easter flowering plants""@en .
wd:Q56964495 rdfs:label ""Numerous factors and incorrect measurements can lead to misinterpretations. Be critical when dealing with hormone levels""@en .
wd:Q6786584 rdfs:label ""Materials""@en .
wd:Q71536040 rdfs:label ""most precise value""@en .
wd:Q811979 rdfs:label ""built structure""@en .
wd:Q83180 rdfs:label ""roof""@en .
wd:Q83405 rdfs:label ""factory""@en .
wd:Q97751506 rdfs:label ""Prestige""@en .
","[[""building"", ""adapt"", ""Materials""], [""building"", ""adaptIn"", ""response to stimulus""], [""building"", ""adaptThroughout"", ""history""], [""building"", ""adaptTo"", ""immunologic factor""], [""building"", ""adaptTo"", ""Numerous factors and incorrect measurements can lead to misinterpretations. Be critical when dealing with hormone levels""], [""building"", ""adaptTo"", ""Numerous sailing ships at sea""], [""building"", ""be"", ""built structure""], [""building"", ""be"", ""papal enclosed""], [""building"", ""be"", ""wall""], [""building"", ""beWith"", ""roof""], [""building"", ""come"", ""Shapes""], [""building"", ""come"", ""subroutine""], [""building"", ""comeIn"", ""Variety""], [""building"", ""comeOf"", ""Sizes and prices of foliage, decorative, Xmas and Easter flowering plants""], [""building"", ""land"", ""Aesthetic Plastic Surgery""], [""building"", ""land"", ""Ground conditions and the May 13, 1994, rock burst: Coeur d'Alene mining district, Northern Idaho""], [""building"", ""land"", ""most precise value""], [""building"", ""land"", ""Prestige""], [""building"", ""land"", ""Prices Act, 1958""], [""building"", ""land"", ""Reasons""], [""building"", ""land"", ""soil""], [""building"", ""stand"", ""factory""], [""building"", ""stand"", ""house""], [""building"", ""stand"", ""link rot""], [""building"", ""weather"", ""Conditions""]]"
River-Stream_01,"A river is a natural stream of fresh water that flows on land or inside caves towards another body of water at a lower elevation, such as an ocean, lake, or another river. A river may run dry before reaching the end of its course if it runs out of water, or only flow during certain seasons.","@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix wd: <http://www.wikidata.org/entity/> .
@prefix kg: <https://example.org/wikidata-description/> .

wd:Q4022 rdfs:label ""river""@en ;
    kg:be wd:Q21199 ;
    kg:be wd:Q47521 ;
    kg:beOf wd:Q124714 ;
    kg:beOf wd:Q283 ;
    kg:flowOn wd:Q11081619 ;
    kg:inside wd:Q200886 ;
    kg:inside wd:Q223557 ;
    kg:inside wd:Q23397 ;
    kg:inside wd:Q71267306 ;
    kg:insideAt wd:Q54050 ;
    kg:run wd:Q1470363 ;
    kg:run wd:Q1539532 ;
    kg:run wd:Q284928 .

wd:Q11081619 rdfs:label ""land""@en .
wd:Q124714 rdfs:label ""spring""@en .
wd:Q1470363 rdfs:label ""Dry""@en .
wd:Q1539532 rdfs:label ""sports season of a sports club""@en .
wd:Q200886 rdfs:label ""Caves""@en .
wd:Q21199 rdfs:label ""natural number""@en .
wd:Q223557 rdfs:label ""physical object""@en .
wd:Q23397 rdfs:label ""lake""@en .
wd:Q283 rdfs:label ""water""@en .
wd:Q284928 rdfs:label ""flOw""@en .
wd:Q47521 rdfs:label ""stream""@en .
wd:Q54050 rdfs:label ""hill""@en .
wd:Q71267306 rdfs:label ""Ocean""@en .
","[[""river"", ""be"", ""natural number""], [""river"", ""be"", ""stream""], [""river"", ""beOf"", ""spring""], [""river"", ""beOf"", ""water""], [""river"", ""flowOn"", ""land""], [""river"", ""inside"", ""Caves""], [""river"", ""inside"", ""lake""], [""river"", ""inside"", ""Ocean""], [""river"", ""inside"", ""physical object""], [""river"", ""insideAt"", ""hill""], [""river"", ""run"", ""Dry""], [""river"", ""run"", ""flOw""], [""river"", ""run"", ""sports season of a sports club""]]"
River-Stream_02,"A stream is a continuous body of surface water flowing within the bed and banks of a channel. The channel is a watercourse, although the watercourse may be seasonally or periodically dry.","@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix wd: <http://www.wikidata.org/entity/> .
@prefix kg: <https://example.org/wikidata-description/> .

wd:Q47521 rdfs:label ""stream""@en ;
    kg:be wd:Q122426205 ;
    kg:be wd:Q125490131 ;
    kg:be wd:Q1470363 ;
    kg:be wd:Q1704572 ;
    kg:be wd:Q2195 ;
    kg:be wd:Q223557 ;
    kg:be wd:Q355304 ;
    kg:beOf wd:Q283 ;
    kg:beOf wd:Q37497814 ;
    kg:flowOf wd:Q1210950 ;
    kg:flowWithin wd:Q42177 ;
    kg:flowWithin wd:Q806825 .

wd:Q1210950 rdfs:label ""channel""@en .
wd:Q122426205 rdfs:label ""periodically""@en .
wd:Q125490131 rdfs:label ""seasonally migrating animals""@en .
wd:Q1470363 rdfs:label ""Dry""@en .
wd:Q1704572 rdfs:label ""continuum""@en .
wd:Q2195 rdfs:label ""JPEG""@en .
wd:Q223557 rdfs:label ""physical object""@en .
wd:Q283 rdfs:label ""water""@en .
wd:Q355304 rdfs:label ""watercourse""@en .
wd:Q37497814 rdfs:label ""Surface""@en .
wd:Q42177 rdfs:label ""bed""@en .
wd:Q806825 rdfs:label ""Banks""@en .
","[[""stream"", ""be"", ""continuum""], [""stream"", ""be"", ""Dry""], [""stream"", ""be"", ""JPEG""], [""stream"", ""be"", ""periodically""], [""stream"", ""be"", ""physical object""], [""stream"", ""be"", ""seasonally migrating animals""], [""stream"", ""be"", ""watercourse""], [""stream"", ""beOf"", ""Surface""], [""stream"", ""beOf"", ""water""], [""stream"", ""flowOf"", ""channel""], [""stream"", ""flowWithin"", ""Banks""], [""stream"", ""flowWithin"", ""bed""]]"
Python_01,"Python is a high-level, general-purpose programming language that emphasizes code readability, simplicity, and ease-of-writing with the use of significant indentation, an extensive standard library, and garbage collection. Python supports multiple programming paradigms but with an emphasis on object-oriented programming and dynamic typing.","@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix wd: <http://www.wikidata.org/entity/> .
@prefix kg: <https://example.org/wikidata-description/> .

wd:Q28865 rdfs:label ""Python""@en ;
    kg:be wd:Q34770 ;
    kg:be wd:Q430949 ;
    kg:be wd:Q68 ;
    kg:emphasize wd:Q1199356 ;
    kg:emphasize wd:Q1478321 ;
    kg:emphasize wd:Q15752338 ;
    kg:emphasize wd:Q17034531 ;
    kg:emphasize wd:Q1820650 ;
    kg:emphasize wd:Q2668072 ;
    kg:emphasize wd:Q28367692 ;
    kg:emphasize wd:Q317623 ;
    kg:emphasize wd:Q37141227 ;
    kg:emphasize wd:Q485673 ;
    kg:programOn wd:Q3215756 ;
    kg:programOn wd:Q79872 ;
    kg:programWith wd:Q181767 ;
    kg:support wd:Q130861450 ;
    kg:support wd:Q50806774 ;
    kg:support wd:Q8277 .

wd:Q1199356 rdfs:label ""standard library""@en .
wd:Q130861450 rdfs:label ""Multiple Programming Languages for Improving Computational Thinking in CS1""@en .
wd:Q1478321 rdfs:label ""spinal stenosis""@en .
wd:Q15752338 rdfs:label ""The Library""@en .
wd:Q17034531 rdfs:label ""Simplicity""@en .
wd:Q181767 rdfs:label ""stress""@en .
wd:Q1820650 rdfs:label ""readability""@en .
wd:Q2668072 rdfs:label ""collection""@en .
wd:Q28367692 rdfs:label ""cavity""@en .
wd:Q317623 rdfs:label ""technical standard""@en .
wd:Q3215756 rdfs:label ""typing""@en .
wd:Q34770 rdfs:label ""language""@en .
wd:Q37141227 rdfs:label ""Code""@en .
wd:Q430949 rdfs:label ""High Level""@en .
wd:Q485673 rdfs:label ""Garbage""@en .
wd:Q50806774 rdfs:label ""Paradigms""@en .
wd:Q68 rdfs:label ""computer""@en .
wd:Q79872 rdfs:label ""object-oriented programming""@en .
wd:Q8277 rdfs:label ""multiple sclerosis""@en .
","[[""Python"", ""be"", ""computer""], [""Python"", ""be"", ""High Level""], [""Python"", ""be"", ""language""], [""Python"", ""emphasize"", ""cavity""], [""Python"", ""emphasize"", ""Code""], [""Python"", ""emphasize"", ""collection""], [""Python"", ""emphasize"", ""Garbage""], [""Python"", ""emphasize"", ""readability""], [""Python"", ""emphasize"", ""Simplicity""], [""Python"", ""emphasize"", ""spinal stenosis""], [""Python"", ""emphasize"", ""standard library""], [""Python"", ""emphasize"", ""technical standard""], [""Python"", ""emphasize"", ""The Library""], [""Python"", ""programOn"", ""object-oriented programming""], [""Python"", ""programOn"", ""typing""], [""Python"", ""programWith"", ""stress""], [""Python"", ""support"", ""Multiple Programming Languages for Improving Computational Thinking in CS1""], [""Python"", ""support"", ""multiple sclerosis""], [""Python"", ""support"", ""Paradigms""]]"
Python_02,Python is a genus of constricting snakes in the Pythonidae family native to the tropics and subtropics of the Eastern Hemisphere. The name python was proposed by François Marie Daudin in 1803 for non-venomous flecked snakes.,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix wd: <http://www.wikidata.org/entity/> .
@prefix kg: <https://example.org/wikidata-description/> .

wd:Q271218 rdfs:label ""Python""@en ;
    kg:be wd:Q34740 ;
    kg:constrict wd:Q2102 ;
    kg:constrictIn wd:Q1322263 ;
    kg:constrictIn wd:Q184018 ;
    kg:constrictIn wd:Q35409 ;
    kg:constrictOf wd:Q130840 ;
    kg:constrictOf wd:Q186198 ;
    kg:constrictOf wd:Q399984 ;
    kg:constrictTo wd:Q16305538 ;
    kg:constrictTo wd:Q42530 ;
    kg:proposeBy wd:Q1166840 ;
    kg:proposeBy wd:Q12787351 ;
    kg:proposeBy wd:Q632104 ;
    kg:proposeFor wd:Q18251706 ;
    kg:proposeFor wd:Q3437312 ;
    kg:proposeIn wd:Q19241405 .

wd:Q1166840 rdfs:label ""François""@en .
wd:Q12787351 rdfs:label ""Daudin""@en .
wd:Q130840 rdfs:label ""Eastern Cape""@en .
wd:Q1322263 rdfs:label ""place of birth""@en .
wd:Q16305538 rdfs:label ""subtropics""@en .
wd:Q18251706 rdfs:label ""Is(In7;X)1Ct""@en .
wd:Q184018 rdfs:label ""python""@en .
wd:Q186198 rdfs:label ""Eastern Hemisphere""@en .
wd:Q19241405 rdfs:label ""1803""@en .
wd:Q2102 rdfs:label ""snake""@en .
wd:Q3437312 rdfs:label ""aglyph""@en .
wd:Q34740 rdfs:label ""genus""@en .
wd:Q35409 rdfs:label ""family""@en .
wd:Q399984 rdfs:label ""hemisphere of the Earth""@en .
wd:Q42530 rdfs:label ""tropics""@en .
wd:Q632104 rdfs:label ""Marie""@en .
","[[""Python"", ""be"", ""genus""], [""Python"", ""constrict"", ""snake""], [""Python"", ""constrictIn"", ""family""], [""Python"", ""constrictIn"", ""place of birth""], [""Python"", ""constrictIn"", ""python""], [""Python"", ""constrictOf"", ""Eastern Cape""], [""Python"", ""constrictOf"", ""Eastern Hemisphere""], [""Python"", ""constrictOf"", ""hemisphere of the Earth""], [""Python"", ""constrictTo"", ""subtropics""], [""Python"", ""constrictTo"", ""tropics""], [""Python"", ""proposeBy"", ""Daudin""], [""Python"", ""proposeBy"", ""François""], [""Python"", ""proposeBy"", ""Marie""], [""Python"", ""proposeFor"", ""aglyph""], [""Python"", ""proposeFor"", ""Is(In7;X)1Ct""], [""Python"", ""proposeIn"", ""1803""]]"
Mercury_01,"Mercury was a brand of medium-priced automobiles that was produced by American manufacturer Ford Motor Company between the 1939 and 2011 motor years. Created by Edsel Ford in 1938, Mercury was established to bridge the gap between the Ford and Lincoln model lines within the Ford Motor Company.","@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix wd: <http://www.wikidata.org/entity/> .
@prefix kg: <https://example.org/wikidata-description/> .

wd:Q613883 rdfs:label ""Mercury""@en ;
    kg:be wd:Q15975618 ;
    kg:beOf wd:Q1420 ;
    kg:bridge wd:Q175081 ;
    kg:bridgeBetween wd:Q27638184 ;
    kg:bridgeBetween wd:Q28260 ;
    kg:bridgeBetween wd:Q4610556 ;
    kg:createBy wd:Q61838285 ;
    kg:createIn wd:Q18645 ;
    kg:produceBetween wd:Q18639 ;
    kg:produceBetween wd:Q1994 ;
    kg:produceBy wd:Q13235160 ;
    kg:produceBy wd:Q1420 ;
    kg:produceBy wd:Q2412929 ;
    kg:produceBy wd:Q44294 ;
    kg:produceBy wd:Q66332018 ;
    kg:produceBy wd:Q6881511 ;
    kg:produceBy wd:Q7976 .

wd:Q13235160 rdfs:label ""manufacturer""@en .
wd:Q1420 rdfs:label ""car""@en .
wd:Q15975618 rdfs:label ""August Brand""@en .
wd:Q175081 rdfs:label ""Gap""@en .
wd:Q18639 rdfs:label ""1939""@en .
wd:Q18645 rdfs:label ""1938""@en .
wd:Q1994 rdfs:label ""2011""@en .
wd:Q2412929 rdfs:label ""Motor Company of Botswana""@en .
wd:Q27638184 rdfs:label ""Lines""@en .
wd:Q28260 rdfs:label ""Lincoln""@en .
wd:Q44294 rdfs:label ""Ford Motor Company""@en .
wd:Q4610556 rdfs:label ""model""@en .
wd:Q61838285 rdfs:label ""Edsel""@en .
wd:Q66332018 rdfs:label ""American Manufacturers Mutual Insurance Company, et al., petitioners v. Delores Scott Sullivan, et al. [Case 97-2000] / South Central Bell Telephone Company, et al., Petitioners v. Alabama, et al. [Case 97-2045] (NAID 138282731)""@en .
wd:Q6881511 rdfs:label ""enterprise""@en .
wd:Q7976 rdfs:label ""American English""@en .
","[[""Mercury"", ""be"", ""August Brand""], [""Mercury"", ""beOf"", ""car""], [""Mercury"", ""bridge"", ""Gap""], [""Mercury"", ""bridgeBetween"", ""Lincoln""], [""Mercury"", ""bridgeBetween"", ""Lines""], [""Mercury"", ""bridgeBetween"", ""model""], [""Mercury"", ""createBy"", ""Edsel""], [""Mercury"", ""createIn"", ""1938""], [""Mercury"", ""produceBetween"", ""1939""], [""Mercury"", ""produceBetween"", ""2011""], [""Mercury"", ""produceBy"", ""American English""], [""Mercury"", ""produceBy"", ""American Manufacturers Mutual Insurance Company, et al., petitioners v. Delores Scott Sullivan, et al. [Case 97-2000] / South Central Bell Telephone Company, et al., Petitioners v. Alabama, et al. [Case 97-2045] (NAID 138282731)""], [""Mercury"", ""produceBy"", ""car""], [""Mercury"", ""produceBy"", ""enterprise""], [""Mercury"", ""produceBy"", ""Ford Motor Company""], [""Mercury"", ""produceBy"", ""manufacturer""], [""Mercury"", ""produceBy"", ""Motor Company of Botswana""]]"
Mercury_02,Mercury is a commune close to Albertville in the Savoie département in the Auvergne-Rhône-Alpes region in south-eastern France. It is part of the urban area of Albertville.,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix wd: <http://www.wikidata.org/entity/> .
@prefix kg: <https://example.org/wikidata-description/> .

wd:Q1231263 rdfs:label ""Mercury""@en ;
    kg:be wd:Q12731 ;
    kg:be wd:Q484170 ;
    kg:beIn wd:Q12745 ;
    kg:beIn wd:Q142 ;
    kg:beIn wd:Q1529921 ;
    kg:beIn wd:Q18338206 ;
    kg:beIn wd:Q82794 ;
    kg:beOf wd:Q11878943 ;
    kg:beTo wd:Q159469 .

wd:Q11878943 rdfs:label ""Urban""@en .
wd:Q12731 rdfs:label ""dead end street""@en .
wd:Q12745 rdfs:label ""Savoie""@en .
wd:Q142 rdfs:label ""France""@en .
wd:Q1529921 rdfs:label ""South Eastern Railway""@en .
wd:Q159469 rdfs:label ""Albertville""@en .
wd:Q18338206 rdfs:label ""Auvergne-Rhône-Alpes""@en .
wd:Q484170 rdfs:label ""commune of France""@en .
wd:Q82794 rdfs:label ""region""@en .
","[[""Mercury"", ""be"", ""commune of France""], [""Mercury"", ""be"", ""dead end street""], [""Mercury"", ""beIn"", ""Auvergne-Rhône-Alpes""], [""Mercury"", ""beIn"", ""France""], [""Mercury"", ""beIn"", ""region""], [""Mercury"", ""beIn"", ""Savoie""], [""Mercury"", ""beIn"", ""South Eastern Railway""], [""Mercury"", ""beOf"", ""Urban""], [""Mercury"", ""beTo"", ""Albertville""]]"
Saturn_01,"Saturn was a god in ancient Roman religion, and a character in Roman mythology. He was described as a god of time, generation, dissolution, abundance, wealth, agriculture, periodic renewal and liberation.","@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix wd: <http://www.wikidata.org/entity/> .
@prefix kg: <https://example.org/wikidata-description/> .

wd:Q134388 rdfs:label ""Saturn""@en ;
    kg:be wd:Q178885 ;
    kg:be wd:Q9134 ;
    kg:be wd:Q95074 ;
    kg:beIn wd:Q1747689 ;
    kg:beIn wd:Q839954 ;
    kg:beIn wd:Q9174 ;
    kg:beIn wd:Q933726 ;
    kg:describe wd:Q1002697 ;
    kg:describe wd:Q11398090 ;
    kg:describe wd:Q11451 ;
    kg:describe wd:Q13717 ;
    kg:describe wd:Q200535 ;
    kg:describe wd:Q2144402 ;
    kg:describe wd:Q336019 ;
    kg:describe wd:Q56277842 ;
    kg:describeOf wd:Q43297 .

wd:Q1002697 rdfs:label ""periodical""@en .
wd:Q11398090 rdfs:label ""creation""@en .
wd:Q11451 rdfs:label ""agriculture""@en .
wd:Q13717 rdfs:label ""Libération""@en .
wd:Q1747689 rdfs:label ""Ancient Rome""@en .
wd:Q178885 rdfs:label ""deity""@en .
wd:Q200535 rdfs:label ""wealth""@en .
wd:Q2144402 rdfs:label ""renovation""@en .
wd:Q336019 rdfs:label ""abundance""@en .
wd:Q43297 rdfs:label ""Time""@en .
wd:Q56277842 rdfs:label ""Dissolution""@en .
wd:Q839954 rdfs:label ""archaeological site""@en .
wd:Q9134 rdfs:label ""mythology""@en .
wd:Q9174 rdfs:label ""religion""@en .
wd:Q933726 rdfs:label ""Roman""@en .
wd:Q95074 rdfs:label ""character""@en .
","[[""Saturn"", ""be"", ""character""], [""Saturn"", ""be"", ""deity""], [""Saturn"", ""be"", ""mythology""], [""Saturn"", ""beIn"", ""Ancient Rome""], [""Saturn"", ""beIn"", ""archaeological site""], [""Saturn"", ""beIn"", ""religion""], [""Saturn"", ""beIn"", ""Roman""], [""Saturn"", ""describe"", ""abundance""], [""Saturn"", ""describe"", ""agriculture""], [""Saturn"", ""describe"", ""creation""], [""Saturn"", ""describe"", ""Dissolution""], [""Saturn"", ""describe"", ""Libération""], [""Saturn"", ""describe"", ""periodical""], [""Saturn"", ""describe"", ""renovation""], [""Saturn"", ""describe"", ""wealth""], [""Saturn"", ""describeOf"", ""Time""]]"
Saturn_02,"Saturn is the sixth planet from the Sun and the second largest in the Solar System, after Jupiter. It is a gas giant, with an average radius of about 9 times that of Earth.","@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix wd: <http://www.wikidata.org/entity/> .
@prefix kg: <https://example.org/wikidata-description/> .

wd:Q193 rdfs:label ""Saturn""@en ;
    kg:be wd:Q121750 ;
    kg:be wd:Q19108 ;
    kg:be wd:Q2 ;
    kg:be wd:Q202785 ;
    kg:be wd:Q3863 ;
    kg:be wd:Q4039279 ;
    kg:be wd:Q703557 ;
    kg:be wd:Q747499 ;
    kg:be wd:Q7533119 ;
    kg:be wd:Q7533215 ;
    kg:be wd:Q860057 ;
    kg:be wd:Q9684 ;
    kg:beFrom wd:Q100368217 ;
    kg:beFrom wd:Q10578722 ;
    kg:beFrom wd:Q14647 ;
    kg:beIn wd:Q29441547 .

wd:Q100368217 rdfs:label ""SUN AND THE ROCKS""@en .
wd:Q10578722 rdfs:label ""maximum""@en .
wd:Q121750 rdfs:label ""gas giant""@en .
wd:Q14647 rdfs:label ""Sun Microsystems""@en .
wd:Q2 rdfs:label ""Earth""@en .
wd:Q202785 rdfs:label ""average""@en .
wd:Q29441547 rdfs:label ""Solar""@en .
wd:Q3863 rdfs:label ""asteroid""@en .
wd:Q4039279 rdfs:label ""Gastroenterology""@en .
wd:Q703557 rdfs:label ""Giant Bicycles""@en .
wd:Q747499 rdfs:label ""RADIUS""@en .
wd:Q7533119 rdfs:label ""Sixth Cambridge Survey of radio sources""@en .
wd:Q7533215 rdfs:label ""Sixth planet""@en .
wd:Q860057 rdfs:label ""USS Langley""@en .
wd:Q9684 rdfs:label ""The New York Times""@en .
","[[""Saturn"", ""be"", ""asteroid""], [""Saturn"", ""be"", ""average""], [""Saturn"", ""be"", ""Earth""], [""Saturn"", ""be"", ""gas giant""], [""Saturn"", ""be"", ""Gastroenterology""], [""Saturn"", ""be"", ""Giant Bicycles""], [""Saturn"", ""be"", ""Q19108""], [""Saturn"", ""be"", ""RADIUS""], [""Saturn"", ""be"", ""Sixth Cambridge Survey of radio sources""], [""Saturn"", ""be"", ""Sixth planet""], [""Saturn"", ""be"", ""The New York Times""], [""Saturn"", ""be"", ""USS Langley""], [""Saturn"", ""beFrom"", ""maximum""], [""Saturn"", ""beFrom"", ""SUN AND THE ROCKS""], [""Saturn"", ""beFrom"", ""Sun Microsystems""], [""Saturn"", ""beIn"", ""Solar""]]"
