identifier,description_identifier,question,answer_id,id_sparql
House_Building_01_01,House-Building_01,is the entity house directly linked to building?,wd:Q41176,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX schema: <https://schema.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT DISTINCT ?answer ?subject ?predicate1 WHERE {
  {
    SELECT ?subject
           (MAX(?canonicalMatch) AS ?canonicalRank)
           (SUM(?edgeWeight) AS ?subjectScore)
    WHERE {
      {
        ?subject ?candidatePredicate ?candidateNeighbor .
        BIND(2 AS ?edgeWeight)
      }
      UNION
      {
        ?candidateNeighbor ?candidatePredicate ?subject .
        BIND(1 AS ?edgeWeight)
      }
      FILTER(isIRI(?subject) || isBlank(?subject))
      FILTER(?candidateNeighbor != ?subject)
      FILTER(?candidatePredicate NOT IN (
        rdfs:label, skos:prefLabel, skos:altLabel, schema:name
      ))
      BIND(IF(?subject = <http://www.wikidata.org/entity/Q3947>, 1, 0) AS ?canonicalMatch)
    }
    GROUP BY ?subject
    ORDER BY DESC(?canonicalRank) DESC(?subjectScore) STR(?subject)
    LIMIT 1
  }
  VALUES ?answer { <http://www.wikidata.org/entity/Q41176> }
  {
    ?subject ?predicate1 ?answer .
  }
  UNION
  {
    ?answer ?predicate1 ?subject .
  }
  FILTER(?predicate1 NOT IN (
    rdfs:label, skos:prefLabel, skos:altLabel, schema:name
  ))
} LIMIT 1"
House_Building_02_01,House-Building_02,is the entity building directly linked to roof?,wd:Q83180,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX schema: <https://schema.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT DISTINCT ?answer ?subject ?predicate1 WHERE {
  {
    SELECT ?subject
           (MAX(?canonicalMatch) AS ?canonicalRank)
           (SUM(?edgeWeight) AS ?subjectScore)
    WHERE {
      {
        ?subject ?candidatePredicate ?candidateNeighbor .
        BIND(2 AS ?edgeWeight)
      }
      UNION
      {
        ?candidateNeighbor ?candidatePredicate ?subject .
        BIND(1 AS ?edgeWeight)
      }
      FILTER(isIRI(?subject) || isBlank(?subject))
      FILTER(?candidateNeighbor != ?subject)
      FILTER(?candidatePredicate NOT IN (
        rdfs:label, skos:prefLabel, skos:altLabel, schema:name
      ))
      BIND(IF(?subject = <http://www.wikidata.org/entity/Q41176>, 1, 0) AS ?canonicalMatch)
    }
    GROUP BY ?subject
    ORDER BY DESC(?canonicalRank) DESC(?subjectScore) STR(?subject)
    LIMIT 1
  }
  VALUES ?answer { <http://www.wikidata.org/entity/Q83180> }
  {
    ?subject ?predicate1 ?answer .
  }
  UNION
  {
    ?answer ?predicate1 ?subject .
  }
  FILTER(?predicate1 NOT IN (
    rdfs:label, skos:prefLabel, skos:altLabel, schema:name
  ))
} LIMIT 1"
River_Stream_01_01,River-Stream_01,is the entity river directly linked to stream?,wd:Q47521,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX schema: <https://schema.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT DISTINCT ?answer ?subject ?predicate1 WHERE {
  {
    SELECT ?subject
           (MAX(?canonicalMatch) AS ?canonicalRank)
           (SUM(?edgeWeight) AS ?subjectScore)
    WHERE {
      {
        ?subject ?candidatePredicate ?candidateNeighbor .
        BIND(2 AS ?edgeWeight)
      }
      UNION
      {
        ?candidateNeighbor ?candidatePredicate ?subject .
        BIND(1 AS ?edgeWeight)
      }
      FILTER(isIRI(?subject) || isBlank(?subject))
      FILTER(?candidateNeighbor != ?subject)
      FILTER(?candidatePredicate NOT IN (
        rdfs:label, skos:prefLabel, skos:altLabel, schema:name
      ))
      BIND(IF(?subject = <http://www.wikidata.org/entity/Q4022>, 1, 0) AS ?canonicalMatch)
    }
    GROUP BY ?subject
    ORDER BY DESC(?canonicalRank) DESC(?subjectScore) STR(?subject)
    LIMIT 1
  }
  VALUES ?answer { <http://www.wikidata.org/entity/Q47521> }
  {
    ?subject ?predicate1 ?answer .
  }
  UNION
  {
    ?answer ?predicate1 ?subject .
  }
  FILTER(?predicate1 NOT IN (
    rdfs:label, skos:prefLabel, skos:altLabel, schema:name
  ))
} LIMIT 1"
River_Stream_02_01,River-Stream_02,is the entity stream directly linked to Surface?,wd:Q37497814,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX schema: <https://schema.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT DISTINCT ?answer ?subject ?predicate1 WHERE {
  {
    SELECT ?subject
           (MAX(?canonicalMatch) AS ?canonicalRank)
           (SUM(?edgeWeight) AS ?subjectScore)
    WHERE {
      {
        ?subject ?candidatePredicate ?candidateNeighbor .
        BIND(2 AS ?edgeWeight)
      }
      UNION
      {
        ?candidateNeighbor ?candidatePredicate ?subject .
        BIND(1 AS ?edgeWeight)
      }
      FILTER(isIRI(?subject) || isBlank(?subject))
      FILTER(?candidateNeighbor != ?subject)
      FILTER(?candidatePredicate NOT IN (
        rdfs:label, skos:prefLabel, skos:altLabel, schema:name
      ))
      BIND(IF(?subject = <http://www.wikidata.org/entity/Q47521>, 1, 0) AS ?canonicalMatch)
    }
    GROUP BY ?subject
    ORDER BY DESC(?canonicalRank) DESC(?subjectScore) STR(?subject)
    LIMIT 1
  }
  VALUES ?answer { <http://www.wikidata.org/entity/Q37497814> }
  {
    ?subject ?predicate1 ?answer .
  }
  UNION
  {
    ?answer ?predicate1 ?subject .
  }
  FILTER(?predicate1 NOT IN (
    rdfs:label, skos:prefLabel, skos:altLabel, schema:name
  ))
} LIMIT 1"
Python_01_01,Python_01,is the entity Python directly linked to High Level?,wd:Q430949,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX schema: <https://schema.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT DISTINCT ?answer ?subject ?predicate1 WHERE {
  {
    SELECT ?subject
           (MAX(?canonicalMatch) AS ?canonicalRank)
           (SUM(?edgeWeight) AS ?subjectScore)
    WHERE {
      {
        ?subject ?candidatePredicate ?candidateNeighbor .
        BIND(2 AS ?edgeWeight)
      }
      UNION
      {
        ?candidateNeighbor ?candidatePredicate ?subject .
        BIND(1 AS ?edgeWeight)
      }
      FILTER(isIRI(?subject) || isBlank(?subject))
      FILTER(?candidateNeighbor != ?subject)
      FILTER(?candidatePredicate NOT IN (
        rdfs:label, skos:prefLabel, skos:altLabel, schema:name
      ))
      BIND(IF(?subject = <http://www.wikidata.org/entity/Q28865>, 1, 0) AS ?canonicalMatch)
    }
    GROUP BY ?subject
    ORDER BY DESC(?canonicalRank) DESC(?subjectScore) STR(?subject)
    LIMIT 1
  }
  VALUES ?answer { <http://www.wikidata.org/entity/Q430949> }
  {
    ?subject ?predicate1 ?answer .
  }
  UNION
  {
    ?answer ?predicate1 ?subject .
  }
  FILTER(?predicate1 NOT IN (
    rdfs:label, skos:prefLabel, skos:altLabel, schema:name
  ))
} LIMIT 1"
Python_02_01,Python_02,is the entity Python directly linked to python?,wd:Q184018,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX schema: <https://schema.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT DISTINCT ?answer ?subject ?predicate1 WHERE {
  {
    SELECT ?subject
           (MAX(?canonicalMatch) AS ?canonicalRank)
           (SUM(?edgeWeight) AS ?subjectScore)
    WHERE {
      {
        ?subject ?candidatePredicate ?candidateNeighbor .
        BIND(2 AS ?edgeWeight)
      }
      UNION
      {
        ?candidateNeighbor ?candidatePredicate ?subject .
        BIND(1 AS ?edgeWeight)
      }
      FILTER(isIRI(?subject) || isBlank(?subject))
      FILTER(?candidateNeighbor != ?subject)
      FILTER(?candidatePredicate NOT IN (
        rdfs:label, skos:prefLabel, skos:altLabel, schema:name
      ))
      BIND(IF(?subject = <http://www.wikidata.org/entity/Q271218>, 1, 0) AS ?canonicalMatch)
    }
    GROUP BY ?subject
    ORDER BY DESC(?canonicalRank) DESC(?subjectScore) STR(?subject)
    LIMIT 1
  }
  VALUES ?answer { <http://www.wikidata.org/entity/Q184018> }
  {
    ?subject ?predicate1 ?answer .
  }
  UNION
  {
    ?answer ?predicate1 ?subject .
  }
  FILTER(?predicate1 NOT IN (
    rdfs:label, skos:prefLabel, skos:altLabel, schema:name
  ))
} LIMIT 1"
Mercury_01_01,Mercury_01,is the entity Mercury directly linked to manufacturer?,wd:Q13235160,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX schema: <https://schema.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT DISTINCT ?answer ?subject ?predicate1 WHERE {
  {
    SELECT ?subject
           (MAX(?canonicalMatch) AS ?canonicalRank)
           (SUM(?edgeWeight) AS ?subjectScore)
    WHERE {
      {
        ?subject ?candidatePredicate ?candidateNeighbor .
        BIND(2 AS ?edgeWeight)
      }
      UNION
      {
        ?candidateNeighbor ?candidatePredicate ?subject .
        BIND(1 AS ?edgeWeight)
      }
      FILTER(isIRI(?subject) || isBlank(?subject))
      FILTER(?candidateNeighbor != ?subject)
      FILTER(?candidatePredicate NOT IN (
        rdfs:label, skos:prefLabel, skos:altLabel, schema:name
      ))
      BIND(IF(?subject = <http://www.wikidata.org/entity/Q613883>, 1, 0) AS ?canonicalMatch)
    }
    GROUP BY ?subject
    ORDER BY DESC(?canonicalRank) DESC(?subjectScore) STR(?subject)
    LIMIT 1
  }
  VALUES ?answer { <http://www.wikidata.org/entity/Q13235160> }
  {
    ?subject ?predicate1 ?answer .
  }
  UNION
  {
    ?answer ?predicate1 ?subject .
  }
  FILTER(?predicate1 NOT IN (
    rdfs:label, skos:prefLabel, skos:altLabel, schema:name
  ))
} LIMIT 1"
Mercury_02_01,Mercury_02,is the entity Mercury directly linked to Albertville?,wd:Q159469,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX schema: <https://schema.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT DISTINCT ?answer ?subject ?predicate1 WHERE {
  {
    SELECT ?subject
           (MAX(?canonicalMatch) AS ?canonicalRank)
           (SUM(?edgeWeight) AS ?subjectScore)
    WHERE {
      {
        ?subject ?candidatePredicate ?candidateNeighbor .
        BIND(2 AS ?edgeWeight)
      }
      UNION
      {
        ?candidateNeighbor ?candidatePredicate ?subject .
        BIND(1 AS ?edgeWeight)
      }
      FILTER(isIRI(?subject) || isBlank(?subject))
      FILTER(?candidateNeighbor != ?subject)
      FILTER(?candidatePredicate NOT IN (
        rdfs:label, skos:prefLabel, skos:altLabel, schema:name
      ))
      BIND(IF(?subject = <http://www.wikidata.org/entity/Q1231263>, 1, 0) AS ?canonicalMatch)
    }
    GROUP BY ?subject
    ORDER BY DESC(?canonicalRank) DESC(?subjectScore) STR(?subject)
    LIMIT 1
  }
  VALUES ?answer { <http://www.wikidata.org/entity/Q159469> }
  {
    ?subject ?predicate1 ?answer .
  }
  UNION
  {
    ?answer ?predicate1 ?subject .
  }
  FILTER(?predicate1 NOT IN (
    rdfs:label, skos:prefLabel, skos:altLabel, schema:name
  ))
} LIMIT 1"
Saturn_01_01,Saturn_01,is the entity Saturn directly linked to Roman?,wd:Q933726,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX schema: <https://schema.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT DISTINCT ?answer ?subject ?predicate1 WHERE {
  {
    SELECT ?subject
           (MAX(?canonicalMatch) AS ?canonicalRank)
           (SUM(?edgeWeight) AS ?subjectScore)
    WHERE {
      {
        ?subject ?candidatePredicate ?candidateNeighbor .
        BIND(2 AS ?edgeWeight)
      }
      UNION
      {
        ?candidateNeighbor ?candidatePredicate ?subject .
        BIND(1 AS ?edgeWeight)
      }
      FILTER(isIRI(?subject) || isBlank(?subject))
      FILTER(?candidateNeighbor != ?subject)
      FILTER(?candidatePredicate NOT IN (
        rdfs:label, skos:prefLabel, skos:altLabel, schema:name
      ))
      BIND(IF(?subject = <http://www.wikidata.org/entity/Q134388>, 1, 0) AS ?canonicalMatch)
    }
    GROUP BY ?subject
    ORDER BY DESC(?canonicalRank) DESC(?subjectScore) STR(?subject)
    LIMIT 1
  }
  VALUES ?answer { <http://www.wikidata.org/entity/Q933726> }
  {
    ?subject ?predicate1 ?answer .
  }
  UNION
  {
    ?answer ?predicate1 ?subject .
  }
  FILTER(?predicate1 NOT IN (
    rdfs:label, skos:prefLabel, skos:altLabel, schema:name
  ))
} LIMIT 1"
Saturn_02_01,Saturn_02,is the entity Saturn directly linked to Sixth planet?,wd:Q7533215,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX schema: <https://schema.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT DISTINCT ?answer ?subject ?predicate1 WHERE {
  {
    SELECT ?subject
           (MAX(?canonicalMatch) AS ?canonicalRank)
           (SUM(?edgeWeight) AS ?subjectScore)
    WHERE {
      {
        ?subject ?candidatePredicate ?candidateNeighbor .
        BIND(2 AS ?edgeWeight)
      }
      UNION
      {
        ?candidateNeighbor ?candidatePredicate ?subject .
        BIND(1 AS ?edgeWeight)
      }
      FILTER(isIRI(?subject) || isBlank(?subject))
      FILTER(?candidateNeighbor != ?subject)
      FILTER(?candidatePredicate NOT IN (
        rdfs:label, skos:prefLabel, skos:altLabel, schema:name
      ))
      BIND(IF(?subject = <http://www.wikidata.org/entity/Q193>, 1, 0) AS ?canonicalMatch)
    }
    GROUP BY ?subject
    ORDER BY DESC(?canonicalRank) DESC(?subjectScore) STR(?subject)
    LIMIT 1
  }
  VALUES ?answer { <http://www.wikidata.org/entity/Q7533215> }
  {
    ?subject ?predicate1 ?answer .
  }
  UNION
  {
    ?answer ?predicate1 ?subject .
  }
  FILTER(?predicate1 NOT IN (
    rdfs:label, skos:prefLabel, skos:altLabel, schema:name
  ))
} LIMIT 1"
